ID,Body,Category,Type,Pattern,JournalIdentifier,Centre_X(mm),Centre_Y(mm),Centre_Z(mm),Normal_dX,Normal_dY,Normal_dZ,Fillet Radius    (mm),Fillet Diameter  (mm),Variable radius,Area (approx)  (mm²),Max Edge Length (mm),Min Edge Length (mm),Edge count,  Edge 1 Length (mm),  Edge 2 Length (mm),  Edge 3 Length (mm),  Edge 4 Length (mm),  Edge 5 Length (mm),Diameter         (mm),Depth            (mm),Entry Chamfer Angle (deg),Entry Chamfer Off.  (mm),Through-hole,Chamfer Dim 1    (mm),Chamfer Dim 2    (mm),Chamfer Type,Weld prep
1,Body-1,FINISHING FEATURES,FILLET / ROUND,,"FACE 1 {(428.5355339059328,159.04,228.5355339059327) EXTRUDE(2)}",428.5355,159.0400,228.5355,0.000000,0.000000,1.000000,5.0000,10.0000,NO,,,,,,,,,,,,,,,,,,
2,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 120 {(215,160,0) EXTRUDE(2)}",215.0000,160.0000,0.0000,0.000000,0.000000,1.000000,,,,34400.0000,430.0000,320.0000,5,430.0000,408.4070,320.0000,,,,,,,,,,,
3,Body-1,FINISHING FEATURES,FILLET / ROUND,,"FACE 1 {(152.0710678118655,160,2.9289321881345) EXTRUDE(2)}",152.0711,160.0000,2.9289,0.000000,0.000000,1.000000,10.0000,20.0000,NO,,,,,,,,,,,,,,,,,,
4,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 140 {(0,160,115) EXTRUDE(2)}",0.0000,160.0000,115.0000,0.000000,0.000000,1.000000,,,,,320.0000,7.0711,5,320.0000,315.0000,230.0000,225.0000,7.0711,,,,,,,,,
5,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 150 {(215,0,112.5) EXTRUDE(2)}",215.0000,0.0000,112.5000,0.000000,0.000000,1.000000,,,,,430.0000,225.0000,4,430.0000,225.0000,,,,,,,,,,,,
6,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 170 {(215,319.9999999999999,115) EXTRUDE(2)}",215.0000,320.0000,115.0000,0.000000,0.000000,1.000000,,,,0.0000,430.0000,7.8540,5,430.0000,425.0000,230.0000,225.0000,7.8540,,,,,,,,,
7,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 160 {(430,160,112.5) EXTRUDE(2)}",430.0000,160.0000,112.5000,0.000000,0.000000,1.000000,,,,,320.0000,225.0000,4,320.0000,225.0000,,,,,,,,,,,,
8,Body-1,HOLE FEATURES,HOLE — SIMPLE (THROUGH),,"FACE 180 {(265,160,115) EXTRUDE(2)}",265.0000,160.0000,115.0000,0.000000,0.000000,1.000000,,,,,,,,,,,,,110.0000,230.0000,45.0000,10.0000,YES,,,,
9,Body-1,FINISHING FEATURES,CHAMFER,,"FACE 1 {(150,160,225) EXTRUDE(2)}",150.0000,160.0000,225.0000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,10.0000,10.0000,0,NO
10,Body-1,FINISHING FEATURES,CHAMFER,,"FACE 1 {(216.29,2.5,227.5) EXTRUDE(2)}",216.2900,2.5000,227.5000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,5.0000,5.0000,0,NO
11,Body-1,FORM FEATURES,PLANAR FACE,,"FACE 130 {(212.5,162.5,230) EXTRUDE(2)}",212.5000,162.5000,230.0000,0.000000,0.000000,1.000000,,,,925.0000,425.0000,315.0000,5,425.0000,408.4070,315.0000,,,,,,,,,,,
